Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/01/2019 12:35:00 PM,08/01/2019 01:08:00 PM,Manhattan,Central Park,Arsenal North 1234 5th ave,Monk Parakeet,Observed by Ranger,Invasive,Healthy,0.5,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
07/30/2019 05:45:00 PM,07/30/2019 05:45:00 PM,Manhattan,Riverside Park,patrol of entire park,Raccoon,Employee,Native,N/A,1,Adult,Small Mammals-RVS,n/a,Unfounded,0,false,false,,,false,false,
07/06/2019 06:30:00 AM,07/06/2019 06:30:00 AM,Manhattan,Central Park,59th Street Pond,Khaki Campbell,Public,Domestic,Healthy,3,Adult,Domestic,,Rehabilitator,2,false,false,LION,,false,false,
08/01/2019 08:30:00 AM,08/01/2019 09:15:00 AM,Queens,Highland Park,Near parking lot on Vermont Pl,Dog,Public,Domestic,Healthy,1,Adult,Domestic,311-00277739,Rehabilitator,1,false,false,Humane Society,,false,false,
08/01/2019 08:00:00 AM,08/01/2019 08:40:00 AM,Queens,Forest Park,Forest Park Greenhouse,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/31/2019 08:35:00 AM,07/31/2019 08:45:00 AM,Manhattan,Central Park,West 85 St. and Central Park Drive,American Robin,Other,Native,N/A,0.1,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,true,false,
07/23/2019 04:30:00 PM,07/23/2019 04:30:00 PM,Manhattan,Fort Tryon Park,W 196th St. and Broadway,Guineafowl,Central,Domestic,Healthy,1,Adult,Birds,n/a,ACC,1,false,false,,,false,false,70085
07/31/2019 11:00:00 AM,07/31/2019 11:30:00 AM,Staten Island,Tottenville Pool,Street corner of Tottenville Pool,Eastern Gray Squirrel,Public,Native,N/A,1,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
07/31/2019 01:00:00 PM,07/31/2019 02:00:00 PM,Staten Island,High Rock Park,admin office,Bird (Unknown),Employee,Native,N/A,1.5,Infant,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/30/2019 01:00:00 PM,07/30/2019 01:10:00 PM,Staten Island,Midland Beach,Midland Beach,Double-crested Cormorant,Employee,Native,DOA,1,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
